"id","imagen","habilidades","estadisticas","tipo"
"1","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png","overgrow,chlorophyll","hp: 45,attack: 49,defense: 49,special-attack: 65,special-defense: 65,speed: 45","grass,poison"
"2","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png","overgrow,chlorophyll","hp: 60,attack: 62,defense: 63,special-attack: 80,special-defense: 80,speed: 60","grass,poison"
"3","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png","overgrow,chlorophyll","hp: 80,attack: 82,defense: 83,special-attack: 100,special-defense: 100,speed: 80","grass,poison"
"6","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png","blaze,solar-power","hp: 78,attack: 84,defense: 78,special-attack: 109,special-defense: 85,speed: 100","fire,flying"
"12","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png","compound-eyes,tinted-lens","hp: 60,attack: 45,defense: 50,special-attack: 90,special-defense: 80,speed: 70","bug,flying"
"13","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png","shield-dust,run-away","hp: 40,attack: 35,defense: 30,special-attack: 20,special-defense: 20,speed: 50","bug,poison"
"14","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png","shed-skin","hp: 45,attack: 25,defense: 50,special-attack: 25,special-defense: 25,speed: 35","bug,poison"
"15","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png","swarm,sniper","hp: 65,attack: 90,defense: 40,special-attack: 45,special-defense: 80,speed: 75","bug,poison"
"16","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png","keen-eye,tangled-feet,big-pecks","hp: 40,attack: 45,defense: 40,special-attack: 35,special-defense: 35,speed: 56","normal,flying"
"17","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png","keen-eye,tangled-feet,big-pecks","hp: 63,attack: 60,defense: 55,special-attack: 50,special-defense: 50,speed: 71","normal,flying"
"18","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png","keen-eye,tangled-feet,big-pecks","hp: 83,attack: 80,defense: 75,special-attack: 70,special-defense: 70,speed: 101","normal,flying"
"21","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png","keen-eye,sniper","hp: 40,attack: 60,defense: 30,special-attack: 31,special-defense: 31,speed: 70","normal,flying"
"22","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png","keen-eye,sniper","hp: 65,attack: 90,defense: 65,special-attack: 61,special-defense: 61,speed: 100","normal,flying"
"31","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png","poison-point,rivalry,sheer-force","hp: 90,attack: 92,defense: 87,special-attack: 75,special-defense: 85,speed: 76","poison,ground"
"34","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png","poison-point,rivalry,sheer-force","hp: 81,attack: 102,defense: 77,special-attack: 85,special-defense: 75,speed: 85","poison,ground"
"39","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png","cute-charm,competitive,friend-guard","hp: 115,attack: 45,defense: 20,special-attack: 45,special-defense: 25,speed: 20","normal,fairy"
"40","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png","cute-charm,competitive,frisk","hp: 140,attack: 70,defense: 45,special-attack: 85,special-defense: 50,speed: 45","normal,fairy"
"41","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png","inner-focus,infiltrator","hp: 40,attack: 45,defense: 35,special-attack: 30,special-defense: 40,speed: 55","poison,flying"
"42","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png","inner-focus,infiltrator","hp: 75,attack: 80,defense: 70,special-attack: 65,special-defense: 75,speed: 90","poison,flying"
"43","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png","chlorophyll,run-away","hp: 45,attack: 50,defense: 55,special-attack: 75,special-defense: 65,speed: 30","grass,poison"
"44","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png","chlorophyll,stench","hp: 60,attack: 65,defense: 70,special-attack: 85,special-defense: 75,speed: 40","grass,poison"
"45","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png","chlorophyll,effect-spore","hp: 75,attack: 80,defense: 85,special-attack: 110,special-defense: 90,speed: 50","grass,poison"
"46","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png","effect-spore,dry-skin,damp","hp: 35,attack: 70,defense: 55,special-attack: 45,special-defense: 55,speed: 25","bug,grass"
"47","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png","effect-spore,dry-skin,damp","hp: 60,attack: 95,defense: 80,special-attack: 60,special-defense: 80,speed: 30","bug,grass"
"48","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png","compound-eyes,tinted-lens,run-away","hp: 60,attack: 55,defense: 50,special-attack: 40,special-defense: 55,speed: 45","bug,poison"
"49","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png","shield-dust,tinted-lens,wonder-skin","hp: 70,attack: 65,defense: 60,special-attack: 90,special-defense: 75,speed: 90","bug,poison"
"62","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png","water-absorb,damp,swift-swim","hp: 90,attack: 95,defense: 95,special-attack: 70,special-defense: 90,speed: 70","water,fighting"
"69","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png","chlorophyll,gluttony","hp: 50,attack: 75,defense: 35,special-attack: 70,special-defense: 30,speed: 40","grass,poison"
"70","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png","chlorophyll,gluttony","hp: 65,attack: 90,defense: 50,special-attack: 85,special-defense: 45,speed: 55","grass,poison"
"71","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png","chlorophyll,gluttony","hp: 80,attack: 105,defense: 65,special-attack: 100,special-defense: 70,speed: 70","grass,poison"
"72","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png","clear-body,liquid-ooze,rain-dish","hp: 40,attack: 40,defense: 35,special-attack: 50,special-defense: 100,speed: 70","water,poison"
"73","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png","clear-body,liquid-ooze,rain-dish","hp: 80,attack: 70,defense: 65,special-attack: 80,special-defense: 120,speed: 100","water,poison"
"74","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png","rock-head,sturdy,sand-veil","hp: 40,attack: 80,defense: 100,special-attack: 30,special-defense: 30,speed: 20","rock,ground"
"75","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png","rock-head,sturdy,sand-veil","hp: 55,attack: 95,defense: 115,special-attack: 45,special-defense: 45,speed: 35","rock,ground"
"76","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png","rock-head,sturdy,sand-veil","hp: 80,attack: 120,defense: 130,special-attack: 55,special-defense: 65,speed: 45","rock,ground"
"79","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png","oblivious,own-tempo,regenerator","hp: 90,attack: 65,defense: 65,special-attack: 40,special-defense: 40,speed: 15","water,psychic"
"80","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png","oblivious,own-tempo,regenerator","hp: 95,attack: 75,defense: 110,special-attack: 100,special-defense: 80,speed: 30","water,psychic"
"81","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png","magnet-pull,sturdy,analytic","hp: 25,attack: 35,defense: 70,special-attack: 95,special-defense: 55,speed: 45","electric,steel"
"82","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png","magnet-pull,sturdy,analytic","hp: 50,attack: 60,defense: 95,special-attack: 120,special-defense: 70,speed: 70","electric,steel"
"83","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png","keen-eye,inner-focus,defiant","hp: 52,attack: 90,defense: 55,special-attack: 58,special-defense: 62,speed: 60","normal,flying"
"84","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png","run-away,early-bird,tangled-feet","hp: 35,attack: 85,defense: 45,special-attack: 35,special-defense: 35,speed: 75","normal,flying"
